;-----------------------------------------------------------
;ICAO	Latitude	Longitude	City/Airport
CEE5	55.961937	-113.819168	Wabasca
CEG3	52.488327	-113.712219	Lacombe
CED5	49.826664	-112.184998	Taber
CEC3	58.473331	-114.542778	Fox Lake
CED3	51.334164	-110.491386	Oyen
CED2	57.542770	-119.131943	Chinchaga
CEC4	53.319160	-117.753052	Jasper-Hinton
CEB5	56.081379	-118.434723	Fairview
CEB3	67.033325	-126.083336	Colville Lake
CEA6	49.162491	-113.241112	Cardston
CEA5	52.646942	-111.384163	Hardisty
CEL5	55.032497	-117.295830	Valleyview
CEE4	53.381386	-117.701111	Entrance
CEK5	56.056385	-115.323334	Utikuma River
CEB4	54.113605	-116.621941	Kaybob South
CEG4	51.496387	-112.748611	Drumheller Mun
CEL4	51.631382	-111.904167	Hanna
CEL3	62.418602	-110.672501	Lutsel K'e
CEK6	52.799995	-111.766670	Killam-Sedgewick
CEK2	61.484447	-135.776413	Braeburn
CEJ6	53.891937	-110.769722	Elk Point
CEJ5	56.449993	-116.349998	Cadotte
CEA3	51.711945	-114.108330	Olds-Didsbury
CEH5	56.546383	-115.274170	Red Earth
CEH2	50.723053	-114.178612	Cu Nim
CEJ4	50.003609	-113.628609	Claresholm Industrial
CEH3	52.651657	-113.605835	Ponoka Industrial-Labrie Fiel
CEG5	56.949997	-113.500000	Chipewyan Lake
CEH4	50.821938	-113.824448	South Calgary
CEH6	52.336937	-110.275833	Provost
CEJ2	53.873886	-112.357780	Andrew
CEJ3	52.309998	-112.753891	Stettler
CEP3	54.099998	-114.433334	Barrhead
CFS4	65.666664	-138.116669	Ogilvie River
CFM6	56.459442	-114.119164	Teepee
CFS5	55.783604	-118.839722	Spirit River
CFQ6	62.837219	-136.535278	Pelly Crossing
CFQ5	61.028885	-138.407501	Silver City
CFP8	60.816658	-135.183334	Cousins
CFR4	55.355270	-110.641388	Kirby
CFP6	60.129162	-124.048615	La Biche River
CFP4	63.599998	-137.566666	McQuesten
CFM5	57.355827	-119.765274	Hamburg
CFN4	58.199997	-111.383331	Embarras
CFS6	57.140827	-115.073891	Loon River
CFX6	50.404716	-113.283333	Vulcan
CFM4	55.709438	-117.094444	Donnelly
CFN7	51.775276	-114.677498	Sundre
CFS7	62.616657	-131.266663	Sheldon Lake
CFT9	59.061661	-118.888054	Zama Lake
CFV2	51.393326	-113.471947	Beiseker
CFV3	59.483326	-119.016670	Mobil Bistcho
CFV6	58.949997	-115.250000	Margaret Lake
CFW2	56.616661	-110.500000	Gordon Lake
CFW4	57.137501	-110.892502	Muskeg Tower
CFX2	50.733330	-113.933334	Okotoks
CFX4	56.950825	-117.644165	Manning
CFX7	55.298607	-111.984444	Round Hill
CFY2	55.399994	-110.483330	Grist Lake
CFY5	60.103046	-130.933609	Pine Lake
CFM3	55.956104	-110.497223	Cowper
CFM7	54.573326	-112.820000	Boyle
CFX3	56.949997	-119.516670	Doig
CFB7	59.633327	-117.166664	Steen River
CFE2	58.699993	-118.684723	Chateh
CFD4	49.483051	-111.494446	Foremost
CFD2	55.816666	-112.516670	Agnes Lake
CFC8	50.249996	-113.366669	McDonald's Farm
CFC7	52.681938	-114.237503	Rimbey
CFF6	57.333332	-115.599998	Talbot Lake
CFC2	57.366661	-111.633331	Bitumount
CFB6	53.727222	-113.086113	Josephburg
CFA4	60.183331	-134.699997	Carcross
CFB4	56.499996	-114.550003	Trout Lake
CFA6	54.421936	-118.980278	Kakwa
CFA5	56.299999	-112.233330	Grande
CFM2	57.700001	-111.833336	Birch Mountain
CFN5	58.166656	-116.333336	La Crete
CFC4	63.181103	-130.201950	MacMillan Pass
CFK4	55.316658	-113.250000	Calling Lake
CFA7	62.597492	-111.544441	Taltheilei Narrows
CFL8	59.899998	-116.349998	Yates Tower
CFK7	54.283325	-119.833336	Sherman Meadows
CFG3	52.016666	-110.750000	Consort
CFK6	51.849998	-114.066666	Netook
CFL2	50.682495	-110.041946	McNeill Petrocan
CFK3	57.799999	-119.449997	Fontas
CFK2	52.557499	-112.964722	Bashaw
CFJ2	64.190552	-114.075554	Snare Lake
CFH3	57.733330	-117.616669	Keg River
CFG7	59.633327	-117.783333	Steen Tower
CFG5	58.491383	-115.138336	John D'Or Prairie
CFG4	55.233334	-118.033333	Debolt
CFL9	57.566662	-110.316666	Johnson Lake
CFE5	56.413300	-116.881700	Three Creeks
CGL2	42.059998	-082.841667	Harrow
CJR3	53.833332	-101.199997	Grace Lake
CJR4	51.144161	-108.762779	Eston
CJR5	50.163601	-098.942497	Gladstone
CJR7	51.628887	-102.449997	Canora
CJR9	52.411381	-104.483887	Naicam
CJS3	58.391106	-109.516388	Cluff Lake
CJR2	52.070000	-109.374443	Luseland
CJS5	49.149994	-099.683334	Killarney Mun
CJP6	59.609997	-109.266945	Camsell Portage
CJT2	51.733334	-096.933334	Matheson Island
CJS4	50.434158	-105.386665	Moose Jaw Mun
CJQ9	57.619995	-099.875275	Big Sand Lake
CJQ7	50.934715	-102.046112	Bredenbury
CJQ6	81.409996	-076.881668	Tanquary Fiord
CJQ4	49.895828	-109.474998	Maple Creek
CJQ3	49.644440	-102.286942	Carlyle
CJP7	50.396660	-095.735001	Lac Du Bonnet
CJP4	50.528049	-103.603615	Indian Head
CJP2	51.926941	-109.129448	Kerrobert
CJN2	51.559715	-101.878891	Kamsack
CJT3	54.914997	-094.798332	Knee Lake
CJN4	49.734718	-105.946945	Assiniboia
CJQ2	49.366665	-102.767220	Lampman
CJW4	55.283329	-102.750000	Pelican Narrows
CJC5	49.658054	-108.406387	Shaunavon
CJM7	50.349995	-099.750000	Bethany
CJZ3	52.866665	-104.699997	Melfort
CJY5	50.400002	-100.433334	Strathclair
CJY4	55.544994	-102.271667	Sandy Bay
CJY3	52.836666	-104.066666	Tisdale
CJY2	75.388329	-096.931664	Little Cornwallis I.
CJX7	73.004997	-085.033333	Artic Bay
CJX5	49.633324	-100.199997	Souris
CJX4	51.566666	-107.916664	Rosetown
CJW7	58.053051	-104.484444	Cigar Lake
CJZ4	53.233326	-106.366669	Shellbrook
CJT4	53.954163	-102.300003	Cumberland House
CJW2	49.233326	-102.150002	Oxbow
CJV9	50.941380	-102.737778	Melville Mun
CJV8	53.173332	-099.323059	Grand Rapids
CJV7	52.708611	-088.541946	Summer Beaver
CJV5	50.232773	-099.510559	Neepawa
CJV4	55.581104	-104.785004	Otter Lake
CJV2	52.831383	-109.640274	Neilburg
CJU6	50.912777	-097.304443	Arborg
CJU4	52.176109	-105.126663	Humboldt
CJT9	53.620556	-107.609444	Leoville
CJW5	50.766659	-101.300003	Russell
CJM6	53.107769	-103.650558	Arborfield
CJG2	51.219162	-109.389999	Eatonia
CJF8	52.051102	-107.988335	Biggar
CJF5	48.999996	-106.383331	West Poplar
CJF3	55.489716	-107.930000	Ile-A-La-Crosse
CJE7	51.158604	-098.331947	Ashern
CJE6	53.535275	-109.433891	Paradise Hill
CJE5	53.377220	-108.342224	Glaslyn
CJE4	54.897217	-099.818886	Snow Lake
CJE3	49.698051	-103.801109	Weyburn
CJG5	51.197216	-108.016113	Elrose
CJD5	50.899998	-109.500000	Leader
CJD3	52.990826	-105.444725	Birch Hills
CJC6	52.732220	-107.374168	Hafford
CJD2	52.483326	-105.716667	Cudworth Muni
CJC3	51.247776	-105.976387	Davidson Muni
CJB8	50.833328	-108.070000	Kyle
CJB6	54.779991	-093.716667	Gods Lake
CJB5	50.166660	-101.633331	Moosomin
CJB3	49.549442	-096.679443	Steinbach
CJA7	49.633324	-102.483330	Arcola
CJA5	49.140274	-093.916946	Nestor Falls
CJA3	49.210274	-098.059166	Morden
CJE2	54.616661	-107.383331	Dore Lake
CJL6	49.099998	-097.533333	Altona
CJC4	50.801384	-106.488335	Central Butte
CJG7	49.926945	-098.923889	Austin
CJM5	49.166656	-108.566666	Frontier
CJM4	49.866665	-106.566666	Gravelbourg
CJM2	51.146103	-103.426109	Ituna
CJL8	60.290276	-102.503334	Kasba Lake
CJL5	49.852501	-096.971390	Lyncrest
CJL4	56.474163	-109.405830	La Loche
CJL2	58.660553	-103.539444	Hatchet Lake
CJK9	51.949997	-102.650002	Preeceville
CJK5	50.057774	-108.489998	Gull Lake
CJH8	53.016663	-106.750000	Leask
CJH2	51.133327	-100.500000	Gilbert Plains
CJL9	52.463051	-107.377220	Radisson
CJK4	50.642776	-102.100281	Esterhazy
CJH7	50.833328	-107.372223	Beechy
CJH3	53.094444	-109.325279	Maidstone
CJJ2	49.549999	-099.333611	Glenboro
CJJ4	49.150829	-100.498611	Deloraine
CJJ5	50.619434	-108.466110	Cabri
CJJ8	52.333328	-109.916664	Macklin
CJK3	55.110828	-107.716110	Beauval
CJH4	49.444996	-106.931946	Ferland
CKU4	52.733326	-109.016670	Cut Knife
CKU5	51.349998	-105.400558	Imperial
CKQ6	50.499443	-099.897781	Erickson Mun
CKT7	52.649994	-105.766670	Wakaw
CKS7	51.933331	-103.833336	Wadena
CKQ7	49.879719	-093.436386	Vermillion Bay
CKQ5	50.994167	-107.131386	Lucky Lake
CKQ3	52.491665	-092.973335	North Spirit lake
CKQ2	53.678604	-103.349998	Squaw Rapids
CKM6	53.116661	-099.800003	Easterville
CKU6	50.419167	-102.935280	Grenfell
CKD5	50.099163	-102.606667	Kipling
CKM8	52.606667	-090.376945	Opapimiskan
CKU7	51.685272	-105.370003	Watrous
CKV7	49.899994	-102.033333	Wawota
CKW7	52.403049	-108.719719	Wilkie
CKW9	59.488327	-097.779999	Nejalini Lake
CKX2	50.159435	-097.591110	Woodlands
CKX3	49.750000	-093.133331	Eagle River
CKX5	51.330833	-107.437500	Dinsmore
CKY2	50.333332	-102.266670	Whitewood
CKY6	49.183331	-101.433334	Gainsborough
CKZ3	54.671661	-094.145012	Elk I.
CKZ7	49.168053	-097.920280	Winkler
CKM2	49.389999	-093.995277	Sioux Narrows
CKZ6	49.147221	-098.880836	Louise Mun
CKB6	53.845829	-089.572220	Wapakeka
CKE2	52.066662	-104.266670	Quill Lake
CKB7	51.199997	-101.449997	Roblin
CKC6	51.845272	-104.992226	Lanigan
CKC7	49.166656	-105.933334	Rockglen
CKC8	49.399998	-098.699997	Somerset
CKD2	52.619713	-103.247780	Porcupine Plain
CKL6	54.291935	-104.671387	Little Bear Lake
CKD9	51.131660	-091.666664	Slate Falls
CKB2	55.899998	-107.720558	Patuanak
CKE8	52.445827	-109.185280	Unity
CKF2	49.466667	-104.283333	Radville
CKF4	54.416664	-109.233330	Goodsoil
CKJ8	54.258049	-097.011108	Molson Lake
CKL3	52.894436	-089.288887	Wunnumin Lake
CKF9	50.718327	-090.683334	De Lesseps Lake
CKK3	48.999996	-105.398888	Scobey Border Station
CKL4	58.133327	-103.783333	Hidden Bay
CKJ7	49.716660	-097.683334	Starbuck
CKJ6	49.001663	-097.897499	Haskett
CKJ4	51.624165	-106.442223	Hanley
CKH7	53.363327	-107.548332	Spiritwood
CKH2	50.464718	-101.554443	Rocanville
CKG8	48.418331	-089.601669	Kakabeka Falls
CKG2	50.966660	-097.000000	Riverton
CKK5	49.549999	-108.800835	Eastend
CKL5	50.458300	-100.608300	Shoal Lake
CNS8	44.949997	-075.083336	Morrisburg
CNS7	44.201382	-081.606667	Kincardine
